kodas,pavadinimas,adresas
191242733,Semeliškių šv. Lauryno parapija,"Elektrėnų sav., Semeliškės"
192065428,Senosios Varėnos šv. Arkang. Mykolo parapija,"Varėnos r. sav., Varėnos sen., Senosios Varėnos k."
191306812,Senųjų Trakų Viešpaties Apreiškimo Švč. M. Marijai ir Šv. Benedikto parapija,"Trakų r. sav., Senųjų Trakų sen., Senųjų Trakų k."
191250790,Seredžiaus Šv. Jono Krikštytojo parapija,"Jurbarko r. sav., Seredžius, P. Cvirkos g. 13, LT-74423"
191267925,Sidabravo Švč. Trejybės parapija,"Radviliškio r. sav., Sidabravas"
191255570,Siesikų Šv. apaštalo Baltramiejaus parapija,"Ukmergės r. sav., Siesikai, Nepriklausomybės g. 5"
192067393,Simno Švč. M. Marijos Ėmimo į dangų parapija,"Alytaus r. sav., Simnas, Kreivoji g. 3, LT-64312"
191296624,Sintautų Švč. M. Marijos Ėmimo į dangų parapija,"Šakių r. sav., Sintautai, P. Vaičaičio g. 37, LT-71336"
191244741,Skaistgirio Šv. Jurgio parapija,"Joniškio r. sav., Skaistgirys"
191259782,Skapiškio Šv. Hiacinto (Jackaus) parapija,"Kupiškio r. sav., Skapiškis, Dariaus ir Girėno g. 2A, LT-40464"
191294769,Skardupių Švč. M. Marijos Krikščionių Pagalbos parapija,"Marijampolės sav., Marijampolės sen., Skardupių k."
191284846,Skaudvilės Šv. Kryžiaus parapija,"Tauragės r. sav., Skaudvilė, Tauragės g. 2, LT-73423"
191257436,Skiemonių Švč. M. Marijos parapija,"Anykščių r. sav., Skiemonys"
191250833,Skirsnemunės Šv. Jurgio parapija,"Jurbarko r. sav., Skirsnemunės sen., Skirsnemunės k., Mikalojaus Gadliausko g. 8, LT-74484"
191263713,Skrebotiškio Švč. Jėzaus Širdies parapija,"Pasvalio r. sav., Vaškų sen., Skrebotiškio k."
191289245,Skriaudžių Šv. Lauryno parapija,"Prienų r. sav., Veiverių sen., Skriaudžių k., Ramybės g. 8, LT-59277"
191239185,Skudutiškio Švč. Trejybės parapija,"Molėtų r. sav., Suginčių sen., Skudutiškio k."
291279280,Skuodo Švč. Trejybės parapija,"Skuodas, Gedimino g. 12, LT-98126"
191296777,Slavikų Šv. Onos parapija,"Šakių r. sav., Šakių sen., Slavikų k."
303566444,Slengių Šv. Jono Pauliaus II parapija,"Klaipėdos r. sav., Vėžaičiai, Gargždų g. 23B, LT-96214"
191282642,Smalininkų Šv. Juozapo parapija,"Jurbarko r. sav., Smalininkai"
191300364,Smalvų Švč. M. Marijos Rožančinės parapija,"Zarasų r. sav., Turmanto sen., Smalvų k."
191258680,Smilgių Nukryžiuotojo Jėzaus parapija,"Biržų r. sav., Pačeriaukštės sen., Smilgių k."
291268070,Smilgių Šv. Jurgio parapija,"Panevėžio r. sav., Smilgiai"
191261477,Spirakių Švč. Trejybės parapija,"Panevėžio r. sav., Panevėžio sen., Spirakių k."
191268984,"Spitrėnų Švč. M. Marijos, Taikos Karalienės parapija","Utenos r. sav., Utenos sen., Spitrėnų k."
191271585,Spraudės Šv. apašt. Pauliaus parapija,"Rietavo sav., Rietavo sen., Spraudžio k."
191250986,Stakių Šv. Antano Paduviečio parapija,"Jurbarko r. sav., Raudonės sen., Stakių k."
291240530,Stakliškių Švč. Trejybės parapija,"Prienų r. sav., Stakliškių sen., Stakliškių k."
191277990,Stalgėnų Šv. apašt. Petro ir Pauliaus parapija,"Plungės r. sav., Stalgėnų sen., Stalgėnų k."
191254326,Stačiūnų Šv. Lauryno parapija,"Pakruojo r. sav., Lygumų sen., Stačiūnų k."
191282795,Stemplių Šv. Aloyzo parapija,"Šilutės r. sav., Švėkšnos sen., Stemplių k."
191239228,Stirnių Šv. Jono Krikštytojo Nukankinimo parapija,"Molėtų r. sav., Čiulėnų sen., Stirnių k."
191305525,Strūnaičio Šv. Apaštalų Petro ir Povilo parapija,"Švenčionių r. sav., Strūnaičio sen., Naujo Strūnaičio k."
191284999,Stulgių Šv. Mato parapija,"Kelmės r. sav., Tytuvėnų apylinkių sen., Stulgių k."
191259825,Subačiaus Šv. Pranciškaus Asyžiečio parapija,"Kupiškio r. sav., Subačius, Biržų g. 4, LT-40405"
300113499,Subačiaus Švč. Trejybės parapija,"Kupiškio r. sav., Subačiaus sen., Subačiaus mstl."
291296810,Sudargo Šv. Jono Krikštytojo parapija,"Šakių r. sav., Kidulių sen., Sudargo k."
191269029,Sudeikių Švč. M. Marijos parapija,"Utenos r. sav., Sudeikiai"
191302568,Sudervės Švč. Trejybės parapija,"Vilniaus r. sav., Sudervės sen., Sudervės k., Kernavės g. 1, LT-14201"
191239413,Suginčių Šv. Kryžiaus Atradimo parapija,"Molėtų r. sav., Suginčių sen., Suginčių k., Darželio g. 8, LT-33334"
191258723,Suosto Šv. Kryžiaus Išaukštinimo parapija,"Biržų r. sav., Nemunėlio Radviliškio sen., Suosto k."
191264434,Surdegio Švč. M. Marijos Ėmimo į dangų parapija,"Anykščių r. sav., Troškūnų sen., Surdegio mstl."
191248234,Surviliškio Nukryžiuotojo Jėzaus parapija,"Kėdainių r. sav., Surviliškis"
191296962,"Sutkų Švč. M. Marijos, Belaisvių vaduotojos parapija","Šakių r. sav., Kriūkų sen., Sutkų k."
191266976,Suvainiškio šv. Jokūbo apaštalo parapija,"Rokiškio r. sav., Pandėlio sen., Suvainiškio mstl."
191302753,Sužionių Šv. Felikso Valua parapija,"Vilniaus r. sav., Sužionių sen., Sužionių k."
191257589,Svėdasų Šv. arkang. Mykolo parapija,"Anykščių r. sav., Svėdasai, Alaušo g. 2, LT-29352"
191289583,Tabariškių Kristaus Karaliaus parapija,"Kauno r. sav., Ringaudų sen., Tabariškių k."
191307871,Tabariškių Šv. arkangelo Mykolo parapija,"Šalčininkų r. sav., Turgelių sen., Tabariškių k."
191255613,Taujėnų šv. Kryžiaus Išaukštinimo parapija,"Ukmergės r. sav., Taujėnai, Užugirio g. 1A, LT-20348"
192079748,Tauragnų Šv. Jurgio parapija,"Utenos r. sav., Tauragnai, A. Musteikio g. 2, LT-28316"
191285033,Tauragės Švč. Trejybės parapija,"Tauragė, Stoties g. 2, LT-72260"
191286854,Telšių I Šv. Antano Paduviečio parapija,"Telšiai, Katedros a. 2, LT-87131"
191287041,Telšių II Švč. M. Marijos Ėmimo į dangų parapija,"Telšiai, Šviesos g. 2, LT-87127"
191281017,Tenenių Šv. Barboros parapija,"Šilalės r. sav., Teneniai"
191300745,Tilžės Švč. M. Marijos Karalienės parapija,"Zarasų r. sav., Turmanto sen., Tilžės k."
190769533,Tirkšlių Kristaus Karaliaus parapija,"Mažeikių r. sav., Tirkšliai"
191306965,Trakų Švč. M. Marijos Apsilankymo parapija,"Trakai, Vytauto Pranciškaus Rūko g. 8, LT-21106"
291264620,Traupio Šv. Onos parapija,"Anykščių r. sav., Traupis"
191264772,Troškūnų Švč. Trejybės parapija,"Anykščių r. sav., Troškūnai, Vytauto g. 1"
291261510,Truskavos Šventosios Dvasios parapija,"Kėdainių r. sav., Truskavos sen., Truskavos mstl., Linkuvės g. 5, LT-58462"
191272915,Tryškių Švč. Trejybės parapija,"Telšių r. sav., Tryškiai, M. Valančiaus g. 6, LT-88153"
191307914,Turgelių Švč. M. Marijos Ėmimo į dangų parapija,"Šalčininkų r. sav., Turgelių sen., Turgelių k."
191305863,Tverečiaus Švč. Trejybės parapija,"Ignalinos r. sav., Tverečius"
191278188,Tverų Švč. M. Marijos Apsilankymo parapija,"Rietavo sav., Tverai"
191310853,Tytuvėnų Švč. M. Marijos Angelų Karalienės parapija,"Kelmės r. sav., Tytuvėnai, Piliakalnio g. 1"
191276365,Tūbausių Šv. apaštalo Andriejaus parapija,"Kretingos r. sav., Kretingos sen., Tūbausių k."
291281160,Tūbinių Dievo Apvaizdos parapija,"Šilalės r. sav., Šilalės kaimiškoji sen., Tūbinių I k."
191287194,Ubiškės Angelų Sargų parapija,"Telšių r. sav., Tryškių sen., Ubiškės mstl., D. Bubėno g. 19, LT-88188"
291311760,Ukmergės Švč. Trejybės parapija,"Ukmergė, Kauno g. 1, LT-20130"
191256487,Ukmergės šv. apaštalų Petro ir Povilo parapija,"Ukmergė, Bažnyčios g. 8, LT-20106"
191274738,Ukrinų Šv. Antano Paduviečio parapija,"Mažeikių r. sav., Židikų sen., Ukrinų k."
191261662,Uliūnų Kristaus Žengimo į Dangų parapija,"Panevėžio r. sav., Ramygalos sen., Uliūnų k."
191255766,Upninkų Šv. arkangelo Mykolo parapija,"Jonavos r. sav., Upninkų sen., Upninkų k."
191287237,Upynos Šv. Jono Labdario parapija,"Telšių r. sav., Upynos sen., Upynos k."
191281355,Upynos Švč. M. Marijos Vardo parapija,"Šilalės r. sav., Upyna"
191261858,Upytės Šv. Karolio Boromiejaus parapija,"Panevėžio r. sav., Upytės sen., Upytės k."
191311955,Utenos Dievo Apvaizdos parapija,"Utena, Aušros g. 78, LT-28150"
191269171,Utenos Kristaus žengimo į dangų parapija,"Utena, Vytauto a. 4, LT-28242"
191274880,Užlieknės Marijos Magdalietės parapija,"Mažeikių r. sav., Tirkšlių sen., Užlieknės k."
191269214,Užpalių Švč. Trejybės parapija,"Utenos r. sav., Užpaliai, J. Basanavičiaus g. 4, LT-28385"
191240682,Užuguosčio šv. apašt. Petro ir Pauliaus parapija,"Prienų r. sav., Stakliškių sen., Užuguosčio k."
191255951,Užunevėžių Švč. M. Marijos parapija,"Anykščių r. sav., Kurklių sen., Užunvėžių k."
290768770,Užvenčio Šv. Marijos Magdalietės parapija,"Kelmės r. sav., Užventis, Kolainių g. 5, LT-86346"
191262045,VADAKTŲ ŠV. AGOTOS PARAPIJA,"Radviliškio r. sav., Sidabravo apylinkės sen., Vadaktų mstl."
191258876,Vabalninko Švč. M. Marijos Ėmimo į dangų parapija,"Biržų r. sav., Vabalninkas, S. Nėries g. 2, LT-41318"
191262198,Vadaktėlių Šv. Jono Nepomuko parapija,"Panevėžio r. sav., Naujamiesčio sen., Vadaktėlių k."
191264815,Vadoklių Švč. Jėzaus Širdies parapija,"Panevėžio r. sav., Vadokliai, Tulpių g. 1, LT-38200"
191251369,Vadžgirio Šv. Juozapo parapija,"Jurbarko r. sav., Šimkaičių sen., Vadžgirio mstl."
191306399,Vaidotų Šv. apaštalo Pauliaus Atsivertimo parapija,"Vilniaus r. sav., Pagirių sen., Vaidotų k., Statybininkų g. 3, LT-14148"
291273060,Vaiguvos Šv. Jono Krikštytojo parapija,"Kelmės r. sav., Vaiguvos sen., Vaiguvos k."
191283025,Vainuto Šv. Jono Krikštytojo parapija,"Šilutės r. sav., Vainutas"
191285186,Vaitimėnų Šv. Kryžiaus Išaukštinimo parapija,"Tauragės r. sav., Mažonų sen., Vaitimėnų k."
191279475,Vaičaičių Šv. Onos parapija,"Skuodo r. sav., Ylakių sen., Vaičaičių k."
191270679,Vajasiškio Šv. Jono Krikštytojo parapija,"Zarasų r. sav., Degučių sen., Vajasiškio k."
191307152,Valkininkų Švč. M. Marijos Apsilankymo parapija,"Varėnos r. sav., Valkininkai"
191246379,Vandžiogalos Švč. Trejybės parapija,"Kauno r. sav., Vandžiogala, Parko g. 4, LT-54388"
191285229,Varlaukio Švč. Trejybės parapija,"Jurbarko r. sav., Eržvilko sen., Varlaukio k."
291287380,Varnių I Šv. apašt. Petro ir Pauliaus parapija,"Telšių r. sav., Varniai, M. Valančiaus g. 4, LT-88319"
191312338,Varnių II Šv. Aleksandro parapija,"Telšių r. sav., Varniai, Vytauto g. 10, LT-88320"
191273255,Varputėnų Šv. Antano Paduviečio parapija,"Kelmės r. sav., Šaukėnų sen., Vidsodžio k."
191281540,Varsėdžių Šv. Roko parapija,"Šilalės r. sav., Upynos sen., Varsėdžių k."
191308973,Varėnos Šv. arkangelo Mykolo parapija,"Varėna, Savanorių g. 10, LT-65187"
191263866,Vaškų Šv. Juozapo parapija,"Pasvalio r. sav., Vaškai, Taikos g. 3, LT-39374"
291292370,Veisiejų Šv. Jurgio parapija,"Lazdijų r. sav., Veisiejai, Dariaus ir Girėno g. 1, LT-67340"
191289626,Veiverių Šv. Liudviko parapija,"Prienų r. sav., Veiveriai, Minties tak. 1, LT-59294"
191271628,Veiviržėnų Šv. apaštalo evangelisto Mato parapija,"Klaipėdos r. sav., Veiviržėnai, Laisvės g."
191251554,Veliuonos Švč. M. Marijos Ėmimo į dangų parapija,"Jurbarko r. sav., Veliuona, Draugystės g. 1, LT-74442"
191262230,Velykių Šv. apašt. Andriejaus parapija,"Panevėžio r. sav., Velžio sen., Velykių k."
301289532,Velžio Švč. Jėzaus Širdies parapija,"Panevėžio r. sav., Velžio sen., Velžio k., Alantos g. 38, LT-38128"
191312295,Ventos Švč. Mergelės Marijos Nekaltojo Prasidėjimo parapija,"Akmenės r. sav., Venta, Stoties g. 37, LT-85309"
191256149,Veprių Švč. M. Marijos Rožančinės parapija,"Ukmergės r. sav., Vepriai"
291251740,Vertimų Šv. Jono Krikštytojo parapija,"Jurbarko r. sav., Jurbarkų sen., Vertimų k., Bažnyčios g. 6, LT-74264"
191239370,Videniškių Šv. Lauryno parapija,"Molėtų r. sav., Videniškių sen., Videniškių k."
191306050,Vidiškių Švč. M. Marijos Apsilankymo parapija,"Ignalinos r. sav., Vidiškių sen., Vidiškių k."
191256291,Vidiškių Švč. Trejybės parapija,"Ukmergės r. sav., Žemaitkiemio sen., Vidiškių vs."
191273440,Vidsodžio Šv. Antano Paduviečio parapija,"Kelmės r. sav., Šaukėnų sen., Vidsodžio k."
191251892,Viduklės Šv. Kryžiaus parapija,"Raseinių r. sav., Viduklė, S. Stanevičiaus g. 1, LT-60349"
191287422,Viekšnalių Švč. M. Marijos Globos parapija,"Telšių r. sav., Luokės sen., Viekšnalių k."
190769686,Viekšnių šv. Jono Krikštytojo parapija,"Mažeikių r. sav., Viekšniai, Bažnyčios g. 4, LT-89491"
191242886,Vievio šv. Onos parapija,"Elektrėnų sav., Vievis, Ežero g. 9, LT-21377"
191257621,Viešintų Šv. arkang. Mykolo parapija,"Anykščių r. sav., Viešintos, Klevų g. 2, LT-29324"
191283178,Viešvilės Kristaus Atsimainymo parapija,"Jurbarko r. sav., Viešvilė"
191287575,Viešvėnų Švč. Trejybės parapija,"Telšių r. sav., Viešvėnų sen., Viešvėnų I k."
191298828,Vilkaviškio Švč. M. Marijos Apsilankymo parapija,"Vilkaviškis, Vysk. A. Karoso g. 2, LT-70140"
190676036,Vilkijos Šv. Jurgio parapija,"Kauno r. sav., Vilkija, Bažnyčios g. 17, LT-54227"
300011996,Vilkyčių šv. Brunono parapija,"Šilutės r. sav., Saugų sen., Vilkyčių k."
191283210,Vilkyškių Šv. Onos parapija,"Pagėgių sav., Vilkyškiai"
191301466,Vilniaus (Kalvarijos) Šv. Kryžiaus Atradimo parapija,"Vilnius, Kalvarijų g. 225"
191309160,Vilniaus (Naujosios Vilnios) Šv. Kazimiero parapija,"Vilnius, Palydovo g. 15, LT-11107"
191309356,Vilniaus (Pavilnio) Kristaus Karaliaus ir šv. Kūdikėlio Jėzaus Teresės parapija,"Vilnius, J. Kolaso g. 34, LT-11306"
191310472,Vilniaus Pal. Jurgio Matulaičio parapija,"Vilnius, Jurgio Matulaičio a. 3, LT-05111"
191312719,Vilniaus Visų Šventųjų parapija,"Vilnius, Rūdninkų g. 20"
191310515,Vilniaus Šv. Jono Bosko parapija,"Vilnius, Erfurto g. 3, LT-04220"
304938367,Vilniaus Šv. Jono Pauliaus II parapija,"Vilnius, Medeinos g. 14, LT-06156"
192084880,Vilniaus Šv. Juozapo parapija,"Vilnius, Tolminkiemio g. 4, LT-06212"
191310091,Vilniaus Šv. Mikalojaus parapija,"Vilnius, Šv. Mikalojaus g. 4, LT-01133"
192051599,Vilniaus Šv. Pranciškaus Asyžiečio parapija,"Vilnius, Maironio g. 10, LT-01124"
191310287,Vilniaus Šv. Teresės parapija,"Vilnius, Aušros Vartų g. 12, LT-01303"
191309922,Vilniaus Šv. apaštalų Petro ir Povilo parapija,"Vilnius, Antakalnio g. 1, LT-10312"
291309880,Vilniaus Šv. arkangelo Rapolo parapija,"Vilnius, Šnipiškių g. 1, LT-09309"
191309018,Vilniaus Šv. vyskupo Stanislovo ir šv. Vladislovo Arkikatedros Bazilikos parapija,"Vilnius, Katedros a."
191309541,Vilniaus Šventosios Dvasios parapija,"Vilnius, Dominikonų g. 8, LT-01131"
191309694,Vilniaus Švč. Jėzaus Širdies parapija,"Vilnius, Gerosios Vilties g. 17, LT-03147"
191309737,Vilniaus Švč. M. Marijos Nekaltojo Prasidėjimo parapija,"Vilnius, Sėlių g. 17, LT-08125"
191243835,Vilūnų šv. apašt. Petro ir Pauliaus parapija,"Kaišiadorių r. sav., Kruonio sen., Vilūnų k."
191298970,Virbalio Šv. arkangelo Mykolo parapija,"Vilkaviškio r. sav., Virbalis, Gedimino g. 2, LT-70384"
291300550,Visagino Šv. Apaštalo Pauliaus parapija,"Visaginas, Santarvės g. 1, LT-31138"
191295141,Višakio Rūdos Šv. vyskupo Stanislovo parapija,"Kazlų Rūdos sav., Kazlų Rūdos sen., Višakio Rūdos k."
191299015,Vištyčio Švč. Trejybės parapija,"Vilkaviškio r. sav., Vištytis"
191251935,Vosiliškio Šv. Juozapo parapija,"Raseinių r. sav., Pagojukų sen., Vosiliškio k."
191306246,Vosiūnų Švč. M. Marijos parapija,"Ignalinos r. sav., Didžiasalio sen., Vosiūnų k."
192089856,Vydmantų Šv. Jono Krikštytojo parapija,"Kretingos r. sav., Kretingos sen., Vydmantų k."
191240725,Vytautavos šv. Antano Paduviečio parapija,"Trakų r. sav., Rūdiškių sen., Vytautavos k."
191269367,Vyžuonų Šv. Jurgio parapija,"Utenos r. sav., Vyžuonos"
191271770,Vėžaičių Šv. Kazimiero parapija,"Klaipėdos r. sav., Vėžaičiai, Samališkės g. 8, LT-96214"
191278754,Ylakių Viešpaties Apreiškimo Švč. M. Marijai parapija,"Skuodo r. sav., Ylakiai, Židikų g. 1, LT-98350"
191289779,Zapyškio Šv. Jono Krikštytojo parapija,"Kauno r. sav., Zapyškio sen., Zapyškio mstl."
191270711,Zarasų Švč. M. Marijos Ėmimo į dangų parapija,"Zarasai, Bažnyčios g. 3, LT-32132"
191241827,Zibalų šv. Jurgio parapija,"Širvintų r. sav., Zibalai"
191292565,Ąžuolų Būdos Šv. Antano Paduviečio parapija,"Kazlų Rūdos sav., Kazlų Rūdos sen., Ąžuolų Būdos k."
191264968,Čedasų Šv. apaštalų Petro ir Povilo parapija,"Rokiškio r. sav., Rokiškio kaimiškoji sen., Čedasų k."
191245277,Čekiškės Švč. Trejybės parapija,"Kauno r. sav., Čekiškė"
191240910,Čiobiškio šv. Jono Krikštytojo parapija,"Širvintų r. sav., Čiobiškio sen., Čiobiškio k."
291260180,Ėriškių Švč. Jėzaus vardo parapija,"Panevėžio r. sav., Upytės sen., Ėriškių k."
291297150,Šakių Šv. Jono Krikštytojo parapija,"Šakiai, Vasario 16-osios g. 9, LT-71126"
191272687,Šakynos Šv. arkangelo Mykolo parapija,"Šiaulių r. sav., Šakyna"
191303855,Šalčininkėlių Šv. Jurgio parapija,"Šalčininkų r. sav., Šalčininkų sen., Šalčininkėlių k."
291303660,Šalčininkų Šv. Apaštalo Petro parapija,Šalčininkai
191278035,Šateikių Šv. evang. Morkaus parapija,"Plungės r. sav., Šateikių sen., Šateikių k."
191254479,Šaukoto Švč. Trejybės parapija,"Radviliškio r. sav., Šaukoto apylinkės sen., Šaukoto I k."
291272720,Šaukėnų Švč. Trejybės parapija,"Kelmės r. sav., Šaukėnai, Prekybos g. 6, LT-86382"
191279322,Šačių Šv. Jono Krikštytojo parapija,"Skuodo r. sav., Šačių sen., Šačių k."
191268112,Šeduvos Šv. Kryžiaus Atradimo parapija,"Radviliškio r. sav., Šeduva, Vilniaus g. 16, LT-82225"
191292031,Šeštokų Švč. M. Marijos Nuolatinės Gelbėtojos parapija,"Lazdijų r. sav., Šeštokai"
191237743,Šešuolių šv. Juozapo parapija,"Ukmergės r. sav., Šešuolių sen., Šešuolių mstl."
191241631,Šešuolėlių Švč. M. Marijos Visų Malonių Tarpininkės parapija,"Širvintų r. sav., Zibalų sen., Šešuolėlių I k."
191272872,Šiaudinės Švč. M. Marijos parapija,"Akmenės r. sav., Papilės sen., Šiaudinės k."
191068211,Šiaulių Šv. Jurgio parapija,"Šiauliai, Kražių g. 17-1"
190852185,Šiaulių Šv. apašt. Petro ir Pauliaus katedros parapija,"Šiauliai, Aušros tak. 3, LT-76294"
192057666,Šiaulių Švč. M. Marijos Nekaltojo Prasidėjimo parapija,"Šiauliai, Gegužių g. 57, LT-78327"
191254511,Šiaulėnų Šv. Onos parapija,"Radviliškio r. sav., Šiaulėnai"
191280972,Šilalės Šv. Pranciškaus Asyžiečio parapija,"Šilalė, M. Valančiaus g. 2, LT-75132"
191289398,Šilavoto Švč. Jėzaus Širdies parapija,"Prienų r. sav., Šilavoto sen., Šilavoto k."
191282838,Šilutės Šv. Kryžiaus parapija,"Šilutė, Katalikų Bažnyčios g. 1, LT-99169"
191251020,Šiluvos Švč. M. Marijos Gimimo parapija,"Raseinių r. sav., Šiluva, Raseinių g. 27, LT-60433"
191302949,Šilėnų Švč. M. Marijos parapija,"Vilniaus r. sav., Zujūnų sen., Šilėnų k."
191264587,Šilų Švč. Jėzaus Vardo parapija,"Panevėžio r. sav., Krekenavos sen., Šilų k."
191251173,Šimkaičių šv. vyskupo Martyno parapija,"Jurbarko r. sav., Šimkaičiai"
191259978,Šimonių Švč. Mergelės Marijos Ėmimo į dangų parapija,"Kupiškio r. sav., Šimonys"
191241784,Širvintų šv. Arkang. Mykolo parapija,"Širvintos, Vilniaus g. 108, LT-19127"
191254664,Šiupylių Šv. Aloyzo parapija,"Šiaulių r. sav., Gruzdžių sen., Šiupylių k."
191248572,Šlapaberžės Nukryžiuotojo Jėzaus parapija,"Kėdainių r. sav., Dotnuvos sen., Šlapaberžės k."
191292184,Šlavantų Viešpaties Apreiškimo Švč. M. Marijai parapija,"Lazdijų r. sav., Šlavantų sen., Šlavantų k."
191289430,Šlienavos Švč. M. Marijos Apsilankymo parapija,"Kauno r. sav., Samylų sen., Šlienavos k."
191307729,Šumsko Šv. arkangelo Mykolo parapija,"Vilniaus r. sav., Kalvelių sen., Šumsko mstl."
191294954,Šunskų Šv. Marijos Magdalietės parapija,"Marijampolės sav., Šunskai"
191270526,Švedriškės Šv. Jono Krikštytojo parapija,"Ignalinos r. sav., Kazitiškio sen., Švedriškės k."
191292227,Šventežerio Švč. M. Marijos Gimimo parapija,"Lazdijų r. sav., Šventežerio sen., Šventežerio k."
191276212,Šventosios Švč. Mergelės Marijos Jūrų žvaigždės parapija,"Palanga, Šventosios g. 4, LT-00306"
191248615,Šventybrasčio Kristaus Atsimainymo parapija,"Kėdainių r. sav., Vilainių sen., Šventybrasčio k."
191305710,Švenčionių Visų Šventųjų parapija,"Švenčionys, Laisvės a. 5, LT-18111"
191305678,Švenčionėlių Šv. Edvardo parapija,"Švenčionių r. sav., Švenčionėliai, Bažnyčios g. 26, LT-18221"
191282980,Švėkšnos Šv. apaštalo Jokūbo parapija,"Šilutės r. sav., Švėkšna"
291248420,Šėtos Švč. Trejybės parapija,"Kėdainių r. sav., Šėta, Lakštingalų g. 2, LT-58127"
191290361,Ūdrijos Švč. Jėzaus Širdies parapija,"Alytaus r. sav., Krokialaukio sen., Ūdrijos k."
191244894,Žagarės Šv. apašt. Petro ir Povilo parapija,"Joniškio r. sav., Žagarė, Miesto a. 1, LT-84322"
291252080,Žaiginio Šv. Antano Paduviečio parapija,"Raseinių r. sav., Šiluvos sen., Žaiginio mstl."
291313430,Žaliosios Šv. Roko parapija,"Vilkaviškio r. sav., Klausučių sen., Žaliosios k., Žaliosios g. 9, LT-70460"
191252122,Žalpių Šv. Benedikto parapija,"Kelmės r. sav., Pakražančio sen., Žalpių mstl."
191287618,Žarėnų Šv. vysk. Stanislovo parapija,"Telšių r. sav., Žarėnai"
191273593,Žarėnų-Latvelių Šv. Mikalojaus parapija,"Šiaulių r. sav., Šakynos sen., Žarėnų k."
191242929,Žaslių Šv. Jurgio parapija,"Kaišiadorių r. sav., Žaslių sen., Žaslių k."
191244937,Žeimelio Šv. apašt. Petro ir Povilo parapija,"Pakruojo r. sav., Žeimelis"
191310668,Žeimių Švč. M. Marijos Gimimo parapija,"Jonavos r. sav., Žeimiai, Taikos g. 5, LT-55384"
191237896,Želvos šv. Ignaco Lojolos parapija,"Ukmergės r. sav., Želva, Dariaus ir Girėno g. 6, LT-20208"
191256334,Žemaitkiemio Šv. Kazimiero parapija,"Ukmergės r. sav., Žemaitkiemis"
191278220,Žemaičių Kalvarijos Švč. M. Marijos Apsilankymo parapija,"Plungės r. sav., Žemaičių Kalvarija, Vienuolyno g. 1, LT-90443"
191283363,Žemaičių Naumiesčio šv. arkangelo Mykolo parapija,"Šilutės r. sav., Žemaičių Naumiestis"
191274923,Žemalės Viešpaties Apreiškimo Švč. M. Marijai parapija,"Mažeikių r. sav., Šerkšnėnų sen., Žemalės k."
191297498,Žemosios Panemunės Šv. Vincento Pauliečio parapija,"Šakių r. sav., Kriūkų sen., Žemosios Panemunės mstl."
191275078,Židikų Šv. Jono Krikštytojo parapija,"Mažeikių r. sav., Židikai"
191243988,Žiežmarių šv. apašt. Jokūbo parapija,"Kaišiadorių r. sav., Žiežmariai, A. Ažubalio g. 5, LT-56239"
191237024,Žilinų Šv. Antano Paduviečio parapija,"Varėnos r. sav., Jakėnų sen., Žilinų k."
191267010,Žiobiškio šv. arkangelo Mykolo parapija,"Rokiškio r. sav., Rokiškio kaimiškoji sen., Žiobiškio k., Šilo g. 9, LT-42411"
191278373,Žlibinų Švč. M. Marijos Krikščionių Pagalbos parapija,"Plungės r. sav., Žlibinų sen., Žlibinų k."
191273636,Žukančių Nukryžiuotojo Jėzaus parapija,"Joniškio r. sav., Gaižaičių sen., Žukančių k."
191281693,Žvingių Šv. Kryžiaus Išaukštinimo parapija,"Šilalės r. sav., Pajūrio sen., Žvingių mstl."
191297530,Žvirgždaičių Švč. Jėzaus Širdies parapija,"Šakių r. sav., Sintautų sen., Žvirgždaičių mstl."
191285371,Žygaičių Šv. Apaštalų Petro ir Pauliaus parapija,"Tauragės r. sav., Žygaičiai"
